slug,city,country_slug,lat,lng,timezone,population
lyon,Lyon,france,45.7640,4.8357,Europe/Paris,1700000
nice,Nice,france,43.7102,7.2620,Europe/Paris,940000
singapore-city,Singapore,singapore,1.3521,103.8198,Asia/Singapore,6040000
sao-paulo,São Paulo,brazil,-23.5505,-46.6333,America/Sao_Paulo,23200000
rio-de-janeiro,Rio de Janeiro,brazil,-22.9068,-43.1729,America/Sao_Paulo,14000000
brasilia,Brasília,brazil,-15.8267,-47.9218,America/Sao_Paulo,4800000
salvador,Salvador,brazil,-12.9777,-38.5016,America/Bahia,4100000
riyadh,Riyadh,saudi-arabia,24.7136,46.6753,Asia/Riyadh,7900000
jeddah,Jeddah,saudi-arabia,21.4858,39.1925,Asia/Riyadh,4800000
mecca,Mecca,saudi-arabia,21.3891,39.8579,Asia/Riyadh,2400000
seoul,Seoul,south-korea,37.5665,126.9780,Asia/Seoul,9900000
busan,Busan,south-korea,35.1796,129.0756,Asia/Seoul,3400000
incheon,Incheon,south-korea,37.4563,126.7052,Asia/Seoul,3000000
mexico-city,Mexico City,mexico,19.4326,-99.1332,America/Mexico_City,23000000
guadalajara,Guadalajara,mexico,20.6597,-103.3496,America/Mexico_City,5300000
monterrey,Monterrey,mexico,25.6866,-100.3161,America/Monterrey,5300000
cancun,Cancún,mexico,21.1619,-86.8515,America/Cancun,950000
rome,Rome,italy,41.9028,12.4964,Europe/Rome,4300000
milan,Milan,italy,45.4642,9.1900,Europe/Rome,3200000
naples,Naples,italy,40.8518,14.2681,Europe/Rome,3000000
venice,Venice,italy,45.4408,12.3155,Europe/Rome,260000
madrid,Madrid,spain,40.4168,-3.7038,Europe/Madrid,6700000
barcelona,Barcelona,spain,41.3851,2.1734,Europe/Madrid,5600000
valencia,Valencia,spain,39.4699,-0.3763,Europe/Madrid,1800000
jakarta,Jakarta,indonesia,-6.2088,106.8456,Asia/Jakarta,11200000
surabaya,Surabaya,indonesia,-7.2575,112.7521,Asia/Jakarta,3000000
bandung,Bandung,indonesia,-6.9175,107.6191,Asia/Jakarta,2700000
bali-denpasar,Bali (Denpasar),indonesia,-8.6500,115.2167,Asia/Makassar,940000
amsterdam,Amsterdam,netherlands,52.3676,4.9041,Europe/Amsterdam,920000
rotterdam,Rotterdam,netherlands,51.9244,4.4777,Europe/Amsterdam,660000
the-hague,The Hague,netherlands,52.0705,4.3007,Europe/Amsterdam,550000
johannesburg,Johannesburg,south-africa,-26.2041,28.0473,Africa/Johannesburg,6200000
cape-town,Cape Town,south-africa,-33.9249,18.4241,Africa/Johannesburg,4800000
durban,Durban,south-africa,-29.8587,31.0218,Africa/Johannesburg,3700000
pretoria,Pretoria,south-africa,-25.7479,28.2293,Africa/Johannesburg,2600000
